lookback,n_long,n_short,rebalance,total_return,cagr,sharpe,sortino,max_drawdown,calmar
84,2,2,3,-0.4010672483048199,-0.25688721033537076,-0.7194986052354629,-0.8988482269246972,-0.5493127022444656,-0.4676520482518278
84,2,2,6,-0.33920561397078475,-0.21335226806753893,-0.556250244446453,-0.6959218329955278,-0.5158952361873548,-0.41355735254368
84,2,2,12,-0.32394516536633855,-0.2028803498674726,-0.5222327206608417,-0.6542294618020414,-0.5619709737923257,-0.3610157095808409
84,2,3,3,-0.39839803192585077,-0.25497078746824553,-0.9009742301525925,-1.2091815051948616,-0.5113171880461087,-0.49865483388611065
84,2,3,6,-0.3984837931125512,-0.2550323059061298,-0.9027151285541509,-1.2227761437284885,-0.4975141354501459,-0.5126131857045209
84,2,3,12,-0.2709159532312849,-0.16724134059547846,-0.5227396145971754,-0.7133156184676049,-0.49627045849124696,-0.3369963650544962
84,2,5,3,-0.352091636155736,-0.22227432619768706,-0.9230171918823177,-1.2954360388150268,-0.46120259188912227,-0.48194509334224217
84,2,5,6,-0.43205777229553743,-0.2794069673754287,-1.2568130702564853,-1.8201153181434786,-0.5034419626972448,-0.554993401579947
84,2,5,12,-0.3617602070380306,-0.22901779986812854,-0.97986499195638,-1.4359360408686968,-0.5096324787502692,-0.44937834501782636
84,3,2,3,-0.4464566495999376,-0.2900457138989616,-0.9089368703446437,-1.1115323595238222,-0.5303608828172603,-0.5468836848567109
84,3,2,6,-0.29887578455707453,-0.18589088401877485,-0.49390691721696783,-0.6059784408266802,-0.4606544093476357,-0.4035365346486701
84,3,2,12,-0.34630450152865955,-0.2182582642869767,-0.6306185134045523,-0.7701754286715528,-0.5289605754793324,-0.4126172618615213
84,3,3,3,-0.44399785994800844,-0.28822084212622834,-1.148997513898725,-1.5067645640021174,-0.4906830587864265,-0.5873869842563255
84,3,3,6,-0.36225324741077447,-0.2293628252138269,-0.8552711355305244,-1.135125386239481,-0.4404695984862992,-0.5207233961255131
84,3,3,12,-0.29556328169752133,-0.18366526715979692,-0.6578512126889545,-0.8731339109914762,-0.4525814065502539,-0.40581708506269143
84,3,5,3,-0.40148456095974083,-0.25718715376103085,-1.2295594482075622,-1.6877271928950757,-0.4279272879139929,-0.601006668714059
84,3,5,6,-0.3982343114233964,-0.25485335729655256,-1.2404417677662838,-1.7656005582630283,-0.4492436493313018,-0.567294290472222
84,3,5,12,-0.3836919049788581,-0.244475700456545,-1.1901458776200038,-1.6908279930723238,-0.47468952813634746,-0.5150223166210716
84,5,2,3,-0.436780548573552,-0.2828837926619111,-0.9196620018308345,-1.1019666453372048,-0.4827270806364178,-0.5860118564074813
84,5,2,6,-0.23839320207835157,-0.14592288547535903,-0.3646243604116942,-0.4384175560687325,-0.40993959052659046,-0.3559619242628234
84,5,2,12,-0.3647617424093603,-0.23111998923405297,-0.7233378972340371,-0.867257873656081,-0.49379565446144313,-0.4680478395179952
84,5,3,3,-0.4342026062977403,-0.280984442692936,-1.1846290281269773,-1.5169432306722193,-0.45150422219506525,-0.6223296015414471
84,5,3,6,-0.30699283134013955,-0.19136338086603677,-0.7234045446188226,-0.9384805609874238,-0.382593588315851,-0.5001740403136508
84,5,3,12,-0.3154162702554022,-0.19707104202121184,-0.7815265024612883,-1.0077401421709777,-0.4149339333778548,-0.4749455905351356
84,5,5,3,-0.3902232557478129,-0.24912366859395674,-1.3159101163038613,-1.8213378344940194,-0.405412799356908,-0.6144938418055197
84,5,5,6,-0.34599599040314466,-0.21804458965916806,-1.1235345498148803,-1.5584791134946308,-0.39099233034970526,-0.5576697360384231
84,5,5,12,-0.4009514780263669,-0.25680401604373415,-1.4045117536532055,-1.9333892044788774,-0.4356112434539915,-0.589525683514313
